2021-01-02,1,Evermore,Taylor Swift,1,1,2
2021-01-02,2,McCartney III,Paul McCartney,0,2,1
2021-01-02,3,Music To Be Murdered By,Eminem,199,1,48
2021-01-02,4,Christmas,Michael Buble,4,1,90
2021-01-02,5,Merry Christmas,Mariah Carey,10,3,99
2021-01-02,6,The Christmas Song,Nat King Cole,8,6,56
2021-01-02,7,My Gift,Carrie Underwood,6,5,13
2021-01-02,8,Folklore,Taylor Swift,3,1,22
2021-01-02,9,The Best Of Pentatonix Christmas,Pentatonix,13,7,18
2021-01-02,10,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,12,10,88
2021-01-02,11,Shoot For The Stars Aim For The Moon,Pop Smoke,7,1,25
2021-01-02,12,A Christmas Gift For You From Phil Spector,Various Artists,17,12,15
2021-01-02,13,Man On The Moon III: The Chosen,Kid Cudi,2,2,2
2021-01-02,14,Positions,Ariana Grande,11,1,8
2021-01-02,15,The Best Of Bing Crosby: 20th Century Masters: The Christmas Collection,Bing Crosby,23,14,46
2021-01-02,16,El Ultimo Tour del Mundo,Bad Bunny,9,1,4
2021-01-02,17,Good News,Megan Thee Stallion,15,2,5
2021-01-02,18,The Classic Christmas Album,Perry Como,24,18,19
2021-01-02,19,What You See Is What You Get,Luke Combs,16,1,59
2021-01-02,20,Fine Line,Harry Styles,14,1,54
2021-01-02,21,Rockin' Around The Christmas Tree: The Decca Christmas Recordings,Brenda Lee,32,17,12
2021-01-02,22,Ultimate Christmas,Frank Sinatra,34,12,25
2021-01-02,23,My Turn,Lil Baby,22,1,43
2021-01-02,24,The Best Of Burl Ives: 20th Century Masters The Christmas Collection,Burl Ives,45,24,4
2021-01-02,25,Legends Never Die,Juice WRLD,18,1,24
2021-01-02,26,BE,BTS,19,1,5
2021-01-02,27,Starting Over,Chris Stapleton,28,3,6
2021-01-02,28,The Classic Christmas Album,Elvis Presley,30,28,42
2021-01-02,29,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,27,1,91
2021-01-02,30,Classic Christmas Album,Andy Williams,37,23,26
2021-01-02,31,Wrapped In Red,Kelly Clarkson,38,3,50
2021-01-02,32,Thats What They All Say,Jack Harlow,5,5,2
2021-01-02,33,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Gene Autry,49,21,18
2021-01-02,34,The Best Of Bobby Helms,Bobby Helms,40,27,9
2021-01-02,35,Wonder,Shawn Mendes,25,1,3
2021-01-02,36,The Dean Martin Christmas Album,Dean Martin,43,36,19
2021-01-02,37,F*ck Love,The Kid LAROI,21,3,22
2021-01-02,38,Hollywood's Bleeding,Post Malone,29,1,68
2021-01-02,39,"Resonance, Pt. 1",NCT,0,6,5
2021-01-02,40,We Need A Little Christmas,Pentatonix,31,23,6
2021-01-02,41,Plastic Hearts,Miley Cyrus,20,2,4
2021-01-02,42,Christmas Classics,Bing Crosby,48,19,34
2021-01-02,43,Hamilton: An American Musical,Original Broadway Cast,35,2,274
2021-01-02,44,Greatest Hits,Queen,36,8,418
2021-01-02,45,Power Up,AC/DC,47,1,6
2021-01-02,46,The Voice,Lil Durk,0,46,1
2021-01-02,47,After Hours,The Weeknd,39,1,40
2021-01-02,48,Dont Smile At Me,Billie Eilish,55,14,157
2021-01-02,49,A Holly Dolly Christmas,Dolly Parton,26,16,12
2021-01-02,50,Last Christmas (Soundtrack),George Michael & Wham!,67,43,13
2021-01-02,51,Greatest Hits,Fleetwood Mac,44,14,174
2021-01-02,52,Future Nostalgia,Dua Lipa,57,4,38
2021-01-02,53,A Legendary Christmas,John Legend,69,22,19
2021-01-02,54,Abbey Road,The Beatles,59,1,393
2021-01-02,55,Goodbye & Good Riddance,Juice WRLD,42,4,136
2021-01-02,56,Corta Venas,Eslabon Armado,0,56,1
2021-01-02,57,Pluto x Baby Pluto,Future & Lil Uzi Vert,41,2,6
2021-01-02,58,BLAME IT ON BABY,DaBaby,46,1,36
2021-01-02,59,The Jackson 5 Christmas Album,Jackson 5,77,53,6
2021-01-02,60,Berry Christmas (EP),Chuck Berry,103,60,6
2021-01-02,61,"good kid, m.A.A.d city",Kendrick Lamar,81,2,426
2021-01-02,62,Feliz Navidad,Jose Feliciano,80,54,11
2021-01-02,63,Diamonds,Elton John,60,7,163
2021-01-02,64,This One's For You,Luke Combs,51,4,186
2021-01-02,65,Noel,Josh Groban,86,1,98
2021-01-02,66,The GOAT,Polo G,50,2,32
2021-01-02,67,YHLQMDLG,Bad Bunny,54,2,43
2021-01-02,68,Legend: The Best Of...,Bob Marley And The Wailers,64,5,658
2021-01-02,69,Thriller,Michael Jackson,89,1,450
2021-01-02,70,The Andy Williams Christmas Album,Andy Williams,85,40,13
2021-01-02,71,Tickets To My Downfall,Machine Gun Kelly,52,1,13
2021-01-02,72,Death Race For Love,Juice WRLD,56,1,94
2021-01-02,73,ASTROWORLD,Travis Scott,63,1,125
2021-01-02,74,Back In Black,AC/DC,78,4,443
2021-01-02,75,Pray 4 Love,Rod Wave,53,2,38
2021-01-02,76,Traveller,Chris Stapleton,65,1,276
2021-01-02,77,Under The Mistletoe,Justin Bieber,102,1,54
2021-01-02,78,Guardians Of The Galaxy: Awesome Mix Vol. 1,Soundtrack,94,1,144
2021-01-02,79,Nevermind,Nirvana,98,1,504
2021-01-02,80,Savage Mode II,21 Savage & Metro Boomin,58,1,12
2021-01-02,81,If I Know Me,Morgan Wallen,62,13,117
2021-01-02,82,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,82,18,503
2021-01-02,83,Everyday Is Christmas,Sia,129,27,13
2021-01-02,84,Curtain Call: The Hits,Eminem,87,1,508
2021-01-02,85,Welcome To O'Block,King Von,61,5,8
2021-01-02,86,"Thank U, Next",Ariana Grande,96,1,98
2021-01-02,87,Eternal Atake,Lil Uzi Vert,72,1,42
2021-01-02,88,Just Cause Y'all Waited 2,Lil Durk,76,2,33
2021-01-02,89,A Very Trainor Christmas,Meghan Trainor,93,89,5
2021-01-02,90,Please Excuse Me For Being Antisocial,Roddy Ricch,73,1,55
2021-01-02,91,The Album,BLACKPINK,108,2,12
2021-01-02,92,Top,YoungBoy Never Broke Again,70,1,15
2021-01-02,93,1,The Beatles,106,1,452
2021-01-02,94,Rumours,Fleetwood Mac,79,1,404
2021-01-02,95,IGOR,"Tyler, The Creator",110,1,69
2021-01-02,96,American Teen,Khalid,97,4,199
2021-01-02,97,Letter To You,Bruce Springsteen,71,2,9
2021-01-02,98,Over It,Summer Walker,74,2,64
2021-01-02,99,beerbongs & bentleys,Post Malone,84,1,139